mode,time
Release,0.00042032100000000003
Release,0.00042164000000000004
Release,0.000419811
Release,0.000418317
Release,0.00044758600000000003
Release,0.00043475100000000004
Release,0.000405595
Release,0.00040280100000000005
Release,0.00038726600000000004
Release,0.00041382400000000003
Release,0.000392091
Release,0.000417256
Release,0.00039160800000000005
Release,0.000433021
Release,0.00042426000000000003
Release,0.000403483
Release,0.000393665
Release,0.000428837
Release,0.000424978
Release,0.00039158300000000004
Release,0.00039381400000000003
Release,0.00041047
Release,0.00044831000000000005
Release,0.00037558800000000005
Release,0.00038729000000000004
Release,0.00044282200000000005
Release,0.000405656
Release,0.000375979
Release,0.00041222000000000003
Release,0.00042679100000000004
Release,0.00038513
Release,0.00037454100000000004
Release,0.00038302000000000003
Release,0.000453648
Release,0.00042499800000000005
Release,0.00039266800000000004
Release,0.00038618400000000003
Release,0.000392319
Release,0.00042928300000000003
Release,0.00044190900000000004
Release,0.00039178600000000003
Release,0.000374559
Release,0.00037424500000000005
Release,0.000377331
Release,0.00038172600000000004
Release,0.000373533
Release,0.000376454
Release,0.00041236500000000004
Release,0.00046639500000000004
Release,0.000477387
Release,0.000399169
Release,0.000383725
Release,0.00038881200000000004
Release,0.00043332500000000003
Release,0.00039622
Release,0.000450989
Release,0.000374164
Release,0.00041002300000000003
Release,0.00040290100000000005
Release,0.000426638
Release,0.00045152900000000005
Release,0.000414969
Release,0.00040250800000000004
Release,0.00044683
Release,0.000372801
Release,0.00037122800000000003
Release,0.00036922400000000003
Release,0.00037780500000000005
Release,0.000371006
Release,0.00039479600000000005
Release,0.000373138
Release,0.00039521900000000004
Release,0.00038216400000000005
Release,0.000407306
Release,0.00038845700000000004
Release,0.00040495
Release,0.00037524600000000003
Release,0.000377978
Release,0.000370149
Release,0.000450174
Release,0.000370972
Release,0.000397442
Release,0.00039684700000000003
Release,0.000373605
Release,0.00037269200000000004
Release,0.000368125
Release,0.000369829
Release,0.00037360700000000003
Release,0.00039662000000000003
Release,0.000373833
Release,0.000382185
Release,0.00038326
Release,0.000435121
Release,0.000412949
Release,0.00040245600000000004
Release,0.00037422800000000005
Release,0.00045871700000000003
Release,0.00039954400000000005
Release,0.000403987
Release,0.00040830500000000003
AddressSanitizer,0.005848377
AddressSanitizer,0.005543715
AddressSanitizer,0.005421096
AddressSanitizer,0.004866704
AddressSanitizer,0.005825398000000001
AddressSanitizer,0.004619779
AddressSanitizer,0.006231971
AddressSanitizer,0.004167133
AddressSanitizer,0.004353391
AddressSanitizer,0.006190459000000001
AddressSanitizer,0.004534913000000001
AddressSanitizer,0.004239741
AddressSanitizer,0.004276268000000001
AddressSanitizer,0.004945039
AddressSanitizer,0.0037010710000000002
AddressSanitizer,0.004626618
AddressSanitizer,0.00559138
AddressSanitizer,0.004841544000000001
AddressSanitizer,0.0052282000000000006
AddressSanitizer,0.005746864
AddressSanitizer,0.004075082
AddressSanitizer,0.004351857000000001
AddressSanitizer,0.005665945
AddressSanitizer,0.0064072040000000005
AddressSanitizer,0.004666063000000001
AddressSanitizer,0.004772978000000001
AddressSanitizer,0.006280295
AddressSanitizer,0.004419353
AddressSanitizer,0.0061726870000000005
AddressSanitizer,0.00516999
AddressSanitizer,0.005567802
AddressSanitizer,0.004447749
AddressSanitizer,0.005659597000000001
AddressSanitizer,0.005824389
AddressSanitizer,0.005605136
AddressSanitizer,0.003963479000000001
AddressSanitizer,0.005127012
AddressSanitizer,0.006388246
AddressSanitizer,0.00585084
AddressSanitizer,0.004582152
AddressSanitizer,0.00497557
AddressSanitizer,0.0057449120000000005
AddressSanitizer,0.004267324
AddressSanitizer,0.005341309000000001
AddressSanitizer,0.005317751
AddressSanitizer,0.004469744
AddressSanitizer,0.006033094
AddressSanitizer,0.00508486
AddressSanitizer,0.005653873
AddressSanitizer,0.005169166
AddressSanitizer,0.004506244
AddressSanitizer,0.005115570000000001
AddressSanitizer,0.005148611
AddressSanitizer,0.00393005
AddressSanitizer,0.004944499000000001
AddressSanitizer,0.006013696000000001
AddressSanitizer,0.0047741070000000005
AddressSanitizer,0.006102047
AddressSanitizer,0.005215928000000001
AddressSanitizer,0.003895452
AddressSanitizer,0.0038781070000000004
AddressSanitizer,0.005915411000000001
AddressSanitizer,0.005348946
AddressSanitizer,0.0054814600000000005
AddressSanitizer,0.005154359000000001
AddressSanitizer,0.0057214430000000005
AddressSanitizer,0.006089948
AddressSanitizer,0.004918996
AddressSanitizer,0.00613773
AddressSanitizer,0.00477814
AddressSanitizer,0.004590141000000001
AddressSanitizer,0.006137121000000001
AddressSanitizer,0.006473673
AddressSanitizer,0.004345772
AddressSanitizer,0.004061841
AddressSanitizer,0.00604947
AddressSanitizer,0.006522952
AddressSanitizer,0.004426981
AddressSanitizer,0.004431385
AddressSanitizer,0.004751334
AddressSanitizer,0.0063114650000000005
AddressSanitizer,0.0060485140000000005
AddressSanitizer,0.00540994
AddressSanitizer,0.005069706
AddressSanitizer,0.0037805490000000002
