src_file,category,dst_file
tests/pass/match_slice.rs,Exit 0,miri-tests/pass/match_slice.rs
tests/pass/dst-raw.rs,Exit 0,miri-tests/pass/dst-raw.rs
tests/pass/provenance.rs,Exit 0,miri-tests/pass/provenance.rs
tests/pass/track-caller-attribute.rs,Exit 0,miri-tests/pass/track-caller-attribute.rs
tests/pass/tuple_like_enum_variant_constructor.rs,Exit 0,miri-tests/pass/tuple_like_enum_variant_constructor.rs
tests/pass/miri_start_with_std.rs,Excluded,
tests/pass/tag-align-dyn-u64.rs,Exit 0,miri-tests/pass/tag-align-dyn-u64.rs
tests/pass/disable-alignment-check.rs,Other UB,
tests/pass/async-closure-drop.rs,Exit 0,miri-tests/pass/async-closure-drop.rs
tests/pass/multi_arg_closure.rs,Exit 0,miri-tests/pass/multi_arg_closure.rs
tests/pass/static_align.rs,Exit 0,miri-tests/pass/static_align.rs
tests/pass/mpsc.rs,Exit 0,miri-tests/pass/mpsc.rs
tests/pass/tuple_like_struct_constructor.rs,Exit 0,miri-tests/pass/tuple_like_struct_constructor.rs
tests/pass/zst_box.rs,Exit 0,miri-tests/pass/zst_box.rs
tests/pass/target-spec-implies-target-feature.rs,Excluded,
tests/pass/function_pointers.rs,Excluded,
tests/pass/float.rs,Excluded,
tests/pass/union.rs,Exit 0,miri-tests/pass/union.rs
tests/pass/u128.rs,Exit 0,miri-tests/pass/u128.rs
tests/pass/vecdeque.rs,Exit 0,miri-tests/pass/vecdeque.rs
tests/pass/zst.rs,Exit 0,miri-tests/pass/zst.rs
tests/pass/pattern-types.rs,Exit 0,miri-tests/pass/pattern-types.rs
tests/pass/recursive_static.rs,Exit 0,miri-tests/pass/recursive_static.rs
tests/pass/constants.rs,Exit 0,miri-tests/pass/constants.rs
tests/pass/wtf8.rs,Excluded,
tests/pass/hashmap.rs,Exit 0,miri-tests/pass/hashmap.rs
tests/pass/address-reuse.rs,Exit 0,miri-tests/pass/address-reuse.rs
tests/pass/option_box_transmute_ptr.rs,Exit 0,miri-tests/pass/option_box_transmute_ptr.rs
tests/pass/dst-field-align.rs,Exit 0,miri-tests/pass/dst-field-align.rs
tests/pass/many_shr_bor.rs,Exit 0,miri-tests/pass/many_shr_bor.rs
tests/pass/binops.rs,Exit 0,miri-tests/pass/binops.rs
tests/pass/coercions.rs,Exit 0,miri-tests/pass/coercions.rs
tests/pass/async-niche-aliasing.rs,Exit 0,miri-tests/pass/async-niche-aliasing.rs
tests/pass/observed_local_mut.rs,Aliasing UB,miri-tests/fail/aliasing/observed_local_mut.rs
tests/pass/partially-uninit.rs,Exit 0,miri-tests/pass/partially-uninit.rs
tests/pass/target-cpu-implies-target-feature.rs,Excluded,
tests/pass/drop_empty_slice.rs,Exit 0,miri-tests/pass/drop_empty_slice.rs
tests/pass/sysroot.rs,Exit 0,miri-tests/pass/sysroot.rs
tests/pass/enum-nullable-const-null-with-fields.rs,Exit 0,miri-tests/pass/enum-nullable-const-null-with-fields.rs
tests/pass/overflow_checks_off.rs,Exit 1,
tests/pass/regions-lifetime-nonfree-late-bound.rs,Exit 0,miri-tests/pass/regions-lifetime-nonfree-late-bound.rs
tests/pass/packed-struct-dyn-trait.rs,Exit 0,miri-tests/pass/packed-struct-dyn-trait.rs
tests/pass/tuple_like_enum_variant_constructor_struct_pointer_opt.rs,Exit 0,miri-tests/pass/tuple_like_enum_variant_constructor_struct_pointer_opt.rs
tests/pass/main_result.rs,Exit 0,miri-tests/pass/main_result.rs
tests/pass/bools.rs,Exit 0,miri-tests/pass/bools.rs
tests/pass/transmute_ptr.rs,Exit 0,miri-tests/pass/transmute_ptr.rs
tests/pass/const-addrs.rs,Exit 0,miri-tests/pass/const-addrs.rs
tests/pass/empty_main.rs,Exit 0,miri-tests/pass/empty_main.rs
tests/pass/pointers.rs,Exit 0,miri-tests/pass/pointers.rs
tests/pass/imported_main.rs,Exit 0,miri-tests/pass/imported_main.rs
tests/pass/atomic.rs,Exit 0,miri-tests/pass/atomic.rs
tests/pass/subslice_array.rs,Exit 0,miri-tests/pass/subslice_array.rs
tests/pass/too-large-primval-write-problem.rs,Exit 0,miri-tests/pass/too-large-primval-write-problem.rs
tests/pass/drop_type_without_drop_glue.rs,Exit 0,miri-tests/pass/drop_type_without_drop_glue.rs
tests/pass/hello.rs,Exit 0,miri-tests/pass/hello.rs
tests/pass/heap.rs,Exit 0,miri-tests/pass/heap.rs
tests/pass/vec.rs,Excluded,
tests/pass/ptr_int_from_exposed.rs,Exit 0,miri-tests/pass/ptr_int_from_exposed.rs
tests/pass/leak-in-static.rs,Exit 0,miri-tests/pass/leak-in-static.rs
tests/pass/from_utf8.rs,Exit 0,miri-tests/pass/from_utf8.rs
tests/pass/rename_std.rs,Exit 0,miri-tests/pass/rename_std.rs
tests/pass/binary-heap.rs,Exit 0,miri-tests/pass/binary-heap.rs
tests/pass/loop-break-value.rs,Exit 0,miri-tests/pass/loop-break-value.rs
tests/pass/products.rs,Exit 0,miri-tests/pass/products.rs
tests/pass/drop_on_fat_ptr_array_elements.rs,Exit 0,miri-tests/pass/drop_on_fat_ptr_array_elements.rs
tests/pass/underscore_pattern.rs,Exit 0,miri-tests/pass/underscore_pattern.rs
tests/pass/coerce_non_capture_closure_to_fn_ptr.rs,Exit 0,miri-tests/pass/coerce_non_capture_closure_to_fn_ptr.rs
tests/pass/future-self-referential.rs,Exit 0,miri-tests/pass/future-self-referential.rs
tests/pass/const-vec-of-fns.rs,Exit 0,miri-tests/pass/const-vec-of-fns.rs
tests/pass/ptr_offset.rs,Exit 0,miri-tests/pass/ptr_offset.rs
tests/pass/c_enums.rs,Exit 0,miri-tests/pass/c_enums.rs
tests/pass/calls.rs,Exit 0,miri-tests/pass/calls.rs
tests/pass/loops.rs,Exit 0,miri-tests/pass/loops.rs
tests/pass/last-use-in-cap-clause.rs,Exit 0,miri-tests/pass/last-use-in-cap-clause.rs
tests/pass/char.rs,Exit 0,miri-tests/pass/char.rs
tests/pass/rfc1623.rs,Exit 0,miri-tests/pass/rfc1623.rs
tests/pass/function_calls/target_feature.rs,Excluded,
tests/pass/deriving-associated-types.rs,Exit 0,miri-tests/pass/deriving-associated-types.rs
tests/pass/async-fn.rs,Exit 0,miri-tests/pass/async-fn.rs
tests/pass/getpid.rs,Exit 0,miri-tests/pass/getpid.rs
tests/pass/drop_in_place.rs,Exit 0,miri-tests/pass/drop_in_place.rs
tests/pass/union-overwrite.rs,Exit 0,miri-tests/pass/union-overwrite.rs
tests/pass/backtrace/backtrace-api-v1.rs,Excluded,
tests/pass/align_repeat_into_well_aligned_array.rs,Exit 0,miri-tests/pass/align_repeat_into_well_aligned_array.rs
tests/pass/concurrency/address_reuse_happens_before.rs,Excluded,
tests/pass/c-variadic.rs,Exit 0,miri-tests/pass/c-variadic.rs
tests/pass/thread_local-panic.rs,Exit 0,miri-tests/pass/thread_local-panic.rs
tests/pass/concurrency/sync.rs,Excluded,
tests/pass/concurrency/miri_thread_join_spawned.rs,Excluded,
tests/pass/static_memory_modification.rs,Exit 0,miri-tests/pass/static_memory_modification.rs
tests/pass/align_strange_enum_discriminant_offset.rs,Exit 0,miri-tests/pass/align_strange_enum_discriminant_offset.rs
tests/pass/concurrency/data_race.rs,Excluded,
tests/pass/concurrency/spin_loops_nopreempt.rs,Excluded,
tests/pass/extern_crate_std_in_main.rs,Exit 0,miri-tests/pass/extern_crate_std_in_main.rs
tests/pass/concurrency/disable_data_race_detector.rs,Excluded,
tests/pass/without-validation.rs,Exit 0,miri-tests/pass/without-validation.rs
tests/pass/concurrency/sync_nopreempt.rs,Excluded,
